epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.03907,0,7.96206,0,0,0,0,0,0.154,5.5724,0.04024,0,0,0
2,1.725,0,7.93457,0,0,0,0,0,0.08189,5.53252,0.02215,1.40071e-05,1.40071e-05,1.40071e-05
3,2.36685,0,7.94073,0,0,0,0,0,0.03642,5.5089,0.01029,2.74482e-05,2.74482e-05,2.74482e-05
4,3.01385,0,7.91751,0,0,0,0,0,0.01504,5.49983,0.00443,4.03235e-05,4.03235e-05,4.03235e-05
5,3.71821,0,7.88473,0,0,0,0,0,0.0016,5.49501,0.00052,5.26329e-05,5.26329e-05,5.26329e-05
6,4.38557,0,7.84516,0,0,0,0,0,0.00078,5.49803,0.00026,6.43764e-05,6.43764e-05,6.43764e-05
7,5.03432,0,7.81532,0,0,0,0,0,0.00095,5.50205,0.00032,7.55541e-05,7.55541e-05,7.55541e-05
8,5.68086,0.0095,7.80599,0.00494,0,0,0,0,0.0029,5.50755,0.00095,8.61658e-05,8.61658e-05,8.61658e-05
9,6.31447,0,7.76237,0,0,0,0,0,0.00173,5.51001,0.00058,9.62117e-05,9.62117e-05,9.62117e-05
10,6.95196,0,7.73868,0,0,0,0,0,0.03178,5.53085,0.00954,0.000105692,0.000105692,0.000105692
11,7.61447,0.00313,7.70066,0.00152,0,0,0,0,0.2755,5.67582,0.07191,0.000114606,0.000114606,0.000114606
12,8.25548,0,7.66752,0,0,0,0,0,0.43118,5.7702,0.10573,0.000122954,0.000122954,0.000122954
13,8.90388,0,7.63385,0,0,0,0,0,0.56759,5.85477,0.13054,0.000130736,0.000130736,0.000130736
14,9.54479,0,7.58953,0,0,0,0,0,0.71548,5.95094,0.15088,0.000137953,0.000137953,0.000137953
15,10.1884,0,7.55477,0,0,0,0,0,0.777,5.99117,0.15722,0.000144603,0.000144603,0.000144603
16,10.8263,0,7.49646,0,0,0,0,0,0.72857,5.95448,0.14289,0.000150688,0.000150688,0.000150688
17,11.4602,0,7.46059,0,0,0,0,0,0.59028,5.85919,0.11252,0.000156207,0.000156207,0.000156207
18,12.0843,0.13366,7.51639,0.04349,0,0,0,0,0.59028,5.85919,0.11252,0.00016116,0.00016116,0.00016116
19,12.7145,0,7.39517,0,0,0,0,0,0.43503,5.75897,0.08149,0.000165547,0.000165547,0.000165547
20,13.3185,0,7.44089,0,0,0,0,0,0.43503,5.75897,0.08149,0.000169368,0.000169368,0.000169368
21,13.9589,0,7.41891,0,0,0,0,0,0.32222,5.6871,0.05966,0.000172623,0.000172623,0.000172623
22,14.5674,0,7.2833,0,0,0,0,0,0.32222,5.6871,0.05966,0.000175313,0.000175313,0.000175313
23,15.2008,0,7.28182,0,0,0,0,0,0.39548,5.72825,0.07395,0.000177436,0.000177436,0.000177436
24,15.8102,0.03769,7.24336,0.01264,0,0,0,0,0.39548,5.72825,0.07395,0.000178994,0.000178994,0.000178994
25,16.4553,0,7.20635,0,0,0,0,0,0.4444,5.7549,0.08427,0.000179985,0.000179985,0.000179985
26,17.0728,0,7.17039,0,0,0,0,0,0.4444,5.7549,0.08427,0.000180411,0.000180411,0.000180411
27,17.7135,0.18938,7.30081,0.04418,0,0,0,0,0.55524,5.81726,0.10454,0.000180271,0.000180271,0.000180271
28,18.3172,0,7.10809,0,0,0,0,0,0.55524,5.81726,0.10454,0.000179565,0.000179565,0.000179565
29,18.9402,0,7.16945,0,0,0,0,0,0.60161,5.83764,0.11245,0.000178293,0.000178293,0.000178293
30,19.5402,0,7.12367,0,0,0,0,0,0.60161,5.83764,0.11245,0.000176456,0.000176456,0.000176456
31,20.163,0,7.16427,0,0,0,0,0,0.62565,5.84116,0.11444,0.000174052,0.000174052,0.000174052
32,20.7606,0,6.97093,0,0,0,0,0,0.62565,5.84116,0.11444,0.000171083,0.000171083,0.000171083
33,21.3912,0,7.06438,0,0,0,0,0,0.6379,5.83112,0.11556,0.000167547,0.000167547,0.000167547
34,21.989,0,6.98688,0,0,0,0,0,0.6379,5.83112,0.11556,0.000163446,0.000163446,0.000163446
35,22.6184,0,6.9222,0,0,0,0,0,0.60352,5.79859,0.10715,0.000158779,0.000158779,0.000158779
36,23.2172,0,6.89634,0,0,0,0,0,0.60352,5.79859,0.10715,0.000153546,0.000153546,0.000153546
37,23.8318,0,6.95606,0,0,0,0,0,0.57621,5.77042,0.09981,0.000147747,0.000147747,0.000147747
38,24.4308,0,6.90704,0,0,0,0,0,0.57621,5.77042,0.09981,0.000141382,0.000141382,0.000141382
39,25.0591,0,6.8421,0,0,0,0,0,0.47096,5.69711,0.08087,0.000134452,0.000134452,0.000134452
40,25.6545,0,6.82922,0,0,0,0,0,0.47096,5.69711,0.08087,0.000126955,0.000126955,0.000126955
41,26.2895,0,6.75294,0,0,0,0,0,0.4008,5.63933,0.0684,0.000118893,0.000118893,0.000118893
42,26.8868,1.36982,7.79001,0.23495,0,0,0,0,0.4008,5.63933,0.0684,0.000110264,0.000110264,0.000110264
43,27.4996,0,6.75917,0,0,0,0,0,0.29658,5.57042,0.05044,0.00010107,0.00010107,0.00010107
44,28.0941,0,6.70254,0,0,0,0,0,0.29658,5.57042,0.05044,9.13102e-05,9.13102e-05,9.13102e-05
45,28.7345,0,6.68061,0,0,0,0,0,0.23102,5.52627,0.0389,8.09843e-05,8.09843e-05,8.09843e-05
46,29.3235,0,6.63477,0,0,0,0,0,0.23102,5.52627,0.0389,7.00924e-05,7.00924e-05,7.00924e-05
47,29.9417,1.74834,8.25469,0.34797,0,0,0,0,0.32597,5.57239,0.05405,5.86347e-05,5.86347e-05,5.86347e-05
