epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,34.3544,0,5.95987,0,0,0,0,0,1.82975,6.33311,0.29286,0.000360542,0.000360542,0.000360542
54,34.999,0,5.95699,0,0,0,0,0,1.86717,6.42743,0.30212,0.000359978,0.000359978,0.000359978
55,35.6287,0,5.94812,0,0,0,0,0,1.86717,6.42743,0.30212,0.000359131,0.000359131,0.000359131
56,36.3463,0,5.93623,0,0,0,0,0,1.86717,6.42743,0.30212,0.000358,0.000358,0.000358
57,37.0862,0,5.88364,0,0,0,0,0,1.87352,6.43642,0.30516,0.000356587,0.000356587,0.000356587
58,37.7754,0,5.93122,0,0,0,0,0,1.87352,6.43642,0.30516,0.000354891,0.000354891,0.000354891
59,38.4554,0,5.84237,0,0,0,0,0,1.87352,6.43642,0.30516,0.000352912,0.000352912,0.000352912
60,39.1379,0,5.89044,0,0,0,0,0,1.87348,6.36273,0.3017,0.000350649,0.000350649,0.000350649
61,39.7633,1.10005,6.59215,0.18188,0,0,0,0,1.87348,6.36273,0.3017,0.000348104,0.000348104,0.000348104
62,40.398,0,5.79876,0,0,0,0,0,1.87348,6.36273,0.3017,0.000345276,0.000345276,0.000345276
63,41.051,0,5.84279,0,0,0,0,0,1.87447,6.39242,0.31369,0.000342165,0.000342165,0.000342165
64,41.6775,0,5.77801,0,0,0,0,0,1.87447,6.39242,0.31369,0.000338772,0.000338772,0.000338772
65,42.3331,0,5.7615,0,0,0,0,0,1.87447,6.39242,0.31369,0.000335095,0.000335095,0.000335095
66,43.0087,0,5.83229,0,0,0,0,0,1.86105,6.45769,0.33969,0.000331135,0.000331135,0.000331135
67,43.628,0,5.79156,0,0,0,0,0,1.86105,6.45769,0.33969,0.000326892,0.000326892,0.000326892
68,44.2488,0,5.68236,0,0,0,0,0,1.86105,6.45769,0.33969,0.000322367,0.000322367,0.000322367
69,44.8964,0,5.76271,0,0,0,0,0,1.84221,6.47676,0.35695,0.000317558,0.000317558,0.000317558
70,45.5543,0,5.68539,0,0,0,0,0,1.84221,6.47676,0.35695,0.000312467,0.000312467,0.000312467
71,46.3782,0,5.68317,0,0,0,0,0,1.84221,6.47676,0.35695,0.000307092,0.000307092,0.000307092
72,47.1362,0,5.69742,0,0,0,0,0,1.84223,6.43077,0.36435,0.000301435,0.000301435,0.000301435
73,47.8019,0,5.68896,0,0,0,0,0,1.84223,6.43077,0.36435,0.000295494,0.000295494,0.000295494
74,48.4265,0,5.62352,0,0,0,0,0,1.84223,6.43077,0.36435,0.000289271,0.000289271,0.000289271
75,49.0777,0,5.67124,0,0,0,0,0,1.83538,6.44554,0.378,0.000282765,0.000282765,0.000282765
76,49.6998,0,5.59513,0,0,0,0,0,1.83538,6.44554,0.378,0.000275976,0.000275976,0.000275976
77,50.3164,0,5.6167,0,0,0,0,0,1.83538,6.44554,0.378,0.000268904,0.000268904,0.000268904
78,50.9563,0,5.58715,0,0,0,0,0,1.83169,6.44047,0.39196,0.000261548,0.000261548,0.000261548
